month_start,model_no,category_name
"2025-01-01","ALUOX 120","Shot Blasting"
"2025-01-01","G16","Steel Grits"
"2025-01-01","G25","Steel Grits"
"2025-01-01","S280","Steel Shots"
"2025-01-01","S280","Steel Shots"
"2025-01-01","S390","Steel Shots"
"2025-01-01","S460","Steel Shots"
"2025-02-01","ALUOX 120","Shot Blasting"
"2025-02-01","ALUOX 240","Shot Blasting"
"2025-02-01","S230","Steel Shots"
"2025-02-01","S330","Steel Shots"
"2025-02-01","S390","Steel Shots"
"2025-02-01","S460","Steel Shots"
"2025-03-01","ALUOX 120","Shot Blasting"
"2025-03-01","ALUOX 200","Shot Blasting"
"2025-03-01","ALUOX 240","Shot Blasting"
"2025-03-01","G18","Steel Grits"
"2025-03-01","G25","Steel Grits"
"2025-03-01","GB #4","Abrasives"
"2025-03-01","S230","Steel Shots"
"2025-03-01","S330","Steel Shots"
"2025-03-01","S390","Steel Shots"
"2025-03-01","S460","Steel Shots"
"2025-04-01","ALUOX 120","Shot Blasting"
"2025-04-01","ALUOX 200","Shot Blasting"
"2025-04-01","G16","Steel Grits"
"2025-04-01","G18","Steel Grits"
"2025-04-01","G25","Steel Grits"
"2025-04-01","GARNET","Grits"
"2025-04-01","GB #4","Abrasives"
"2025-04-01","S330","Steel Shots"
"2025-04-01","S390","Steel Shots"
"2025-05-01","ALUOX 120","Shot Blasting"
"2025-05-01","ALUOX 200","Shot Blasting"
"2025-05-01","ALUOX F46","Shot Blasting"
"2025-05-01","G16","Steel Grits"
"2025-05-01","G18","Steel Grits"
"2025-05-01","G25","Steel Grits"
"2025-05-01","GARNET","Grits"
"2025-05-01","GB #4","Abrasives"
"2025-05-01","S330","Steel Shots"
"2025-05-01","S390","Steel Shots"
"2025-05-01","S390","Steel Shots"
"2025-05-01","S550","Steel Shots"
"2025-06-01","ALUOX 120","Shot Blasting"
"2025-06-01","ALUOX 200","Shot Blasting"
"2025-06-01","ALUOX 46","Shot Blasting"
"2025-06-01","G25","Steel Grits"
"2025-06-01","G40","Steel Grits"
"2025-06-01","GARNET","Grits"
"2025-06-01","GB #4","Abrasives"
"2025-06-01","P.BLAST #240","Shot Blasting"
"2025-06-01","S330","Steel Shots"
"2025-06-01","S390","Steel Shots"
"2025-06-01","S460","Steel Shots"
"2025-07-01","ALUOX 100","Shot Blasting"
"2025-07-01","ALUOX 120","Shot Blasting"
"2025-07-01","ALUOX 200","Shot Blasting"
"2025-07-01","ALUOX 46","Shot Blasting"
"2025-07-01","G18","Steel Grits"
"2025-07-01","G25","Steel Grits"
"2025-07-01","G40","Steel Grits"
"2025-07-01","GARNET","Grits"
"2025-07-01","GB #4","Abrasives"
"2025-07-01","S330","Steel Shots"
"2025-07-01","S390","Steel Shots"
"2025-08-01","ALUOX 120","Shot Blasting"
"2025-08-01","ALUOX 200","Shot Blasting"
"2025-08-01","G18","Steel Grits"
"2025-08-01","G25","Steel Grits"
"2025-08-01","G40","Steel Grits"
"2025-08-01","S390","Steel Shots"
"2025-09-01","ALUOX 120","Shot Blasting"
"2025-09-01","ALUOX 200","Shot Blasting"
"2025-09-01","ALUOX 240","Shot Blasting"
"2025-09-01","ALUOX 46","Shot Blasting"
"2025-09-01","G18","Steel Grits"
"2025-09-01","G25","Steel Grits"
"2025-09-01","GB #4","Abrasives"
"2025-09-01","S230","Steel Shots"
"2025-09-01","S330","Steel Shots"
"2025-09-01","S390","Steel Shots"
"2025-09-01","S460","Steel Shots"