customer_name,bulk_orders_amount,model_no,month_start
"SOS INDUSTRIAL ENT",142500,"G18","2024-01-01"
"SOS INDUSTRIAL ENT",332500,"G18","2024-01-01"
"SUPERBLAST",190000,"G25","2024-01-01"
"TAIHEI",285000,"G25","2024-01-01"
"UNITED REBUILDERS",11875,"G25","2024-01-01"
"APEM",95000,"G25","2024-02-01"
"UNITED REBUILDERS",16625,"G25","2024-02-01"
"ALPHA VLAST",66500,"G40","2024-03-01"
"RAMCAR",171000,"G40","2024-03-01"
"THREE EDZ",380000,"G25","2024-03-01"
"ALPHAVLAST",28500,"G25","2024-04-01"
"APEM",95000,"G25","2024-04-01"
"EEI BAUAN",475000,"G25","2024-04-01"
"EEI",323000,"G25","2024-05-01"
"TAIHEI",95000,"G25","2024-05-01"
"FIRST INDUSTRIAL",9500,"G25","2024-06-01"
"FRP",11875,"G25","2024-06-01"
"HICOR",35625,"G25","2024-06-01"
"RAMCAR",78375,"G40","2024-06-01"
"UNITED REBUILDERS",33250,"G25","2024-06-01"
"FRP",11875,"G18","2024-07-01"
"ISHIDA",47500,"G16","2024-07-01"
"ALPHAVLAST",28500,"G40","2024-08-01"
"RAMCAR",76000,"G40","2024-08-01"
"APEM",95000,"G25","2024-09-01"
"FRP",11875,"G25","2024-09-01"
"RAMCAR",68875,"G25","2024-09-01"
"UNITED REBUILDERS",33250,"G25","2024-09-01"
"FIRST INDUSTRIAL",9500,"G18","2024-10-01"
"RAMCAR",358625,"G40","2024-10-01"
"APEM",95000,"G25","2024-11-01"
"FRP",11875,"G18","2024-11-01"
"RAMCAR",85500,"G40","2024-11-01"
"TAIHEI",95000,"G25","2024-11-01"
"RUREX",2375,"G16","2024-12-01"
"RUREX",2375,"G18","2024-12-01"
"RUREX",2375,"G25","2024-12-01"